Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
280	4,42785714285714	4,73E-23	2,54E-26	2,99106307468947E-21
280,5	4,41996434937611	1,23E-21	1,09E-24	7,80583219067592E-20
281	4,41209964412811	5,69E-21	6,13E-24	3,62387554444265E-19
281,5	4,40426287744227	1,57E-19	2,75E-22	1,0034709832231E-17
282	4,39645390070922	1,19E-18	2,83E-21	7,63296983384417E-17
282,5	4,38867256637168	4,54E-18	1,33E-20	2,92240986449427E-16
283	4,38091872791519	1,85E-17	6,76E-20	1,19506896273593E-15
283,5	4,37319223985891	3,54E-17	1,46E-19	2,29486824487821E-15
284	4,36549295774648	7,27E-16	4,98E-18	4,72954605581545E-14
284,5	4,35782073813708	2,49E-15	2,16E-17	1,62559463219874E-13
285	4,35017543859649	8,01E-15	9E-17	5,24771939022423E-13
285,5	4,34255691768827	4,26E-14	6,44E-16	2,80072322148734E-12
286	4,33496503496503	1,37E-13	2,35E-15	9,0385965478303E-12
286,5	4,32739965095986	8,38E-13	1,85E-14	5,54806626068721E-11
287	4,3198606271777	2,74E-12	7,25E-14	1,82038280367801E-10
287,5	4,31234782608696	1,09E-11	3,66E-13	7,26692309243426E-10
288	4,30486111111111	6,23E-11	2,81E-12	4,16793934505565E-9
288,5	4,29740034662045	1,72E-10	9,07E-12	1,15469809646717E-8
289	4,28996539792388	5,63E-10	3,5E-11	3,79273455396032E-8
289,5	4,28255613126079	2,07E-9	1,54E-10	1,39931615986449E-7
290	4,2751724137931	6,02E-9	5,15E-10	4,08357799645104E-7
290,5	4,26781411359725	1,38E-8	1,33E-9	9,39333319890305E-7
291	4,26048109965636	3,51E-8	3,9E-9	2,39740530730763E-6
291,5	4,25317324185249	1,09E-7	1,44E-8	7,47053980480723E-6
292	4,2458904109589	2,68E-7	4,08E-8	1,84309985481529E-5
292,5	4,23863247863248	4,27E-7	7,04E-8	2,94664613244072E-5
293	4,23139931740614	8,65E-7	1,58E-7	5,98962614937893E-5
293,5	4,22419080068143	2,27E-6	4,71E-7	1,57721332069689E-4
294	4,21700680272109	4,17E-6	9,46E-7	2,90722793999032E-4
294,5	4,20984719864177	6,59E-6	1,6E-6	4,61003667930311E-4
295	4,20271186440678	1,23E-5	3,22E-6	8,63371108243265E-4
295,5	4,19560067681895	2,78E-5	8,02E-6	0,00195797947249556
296	4,18851351351351	4,79E-5	1,47E-5	0,00338506726891434
296,5	4,1814502529511	7,13E-5	2,33E-5	0,00505576982174544
297	4,17441077441077	9,68E-5	3,32E-5	0,00688710372640748
297,5	4,16739495798319	1,86E-4	6,79E-5	0,0132780791256654
298	4,16040268456376	2,9E-4	1,11E-4	0,0207720277464107
298,5	4,1534338358459	3,58E-4	1,43E-4	0,0257288316663978
299	4,14648829431438	4,92E-4	2,03E-4	0,0354777318922407
299,5	4,13956594323873	8,61E-4	3,74E-4	0,0622938500161316
300	4,13266666666667	1E-3	5E-4	0,0725923536054202
300,5	4,12579034941764	0,0012	6E-4	0,087401435715438
301	4,11893687707641	0,0019	9E-4	0,13884650750121
301,5	4,11210613598673	0,0027	0,0013	0,197964248265849
302	4,10529801324503	0,0029	0,0015	0,213334086142926
302,5	4,09851239669421	0,0043	0,0022	0,317371249395064
303	4,09174917491749	0,0071	0,0037	0,525765365381513
303,5	4,08500823723229	0,009	0,0048	0,668664502339087
304	4,07828947368421	0,0095	0,0051	0,708140022584288
304,5	4,07159277504105	0,012	0,0065	0,897437489917729
305	4,06491803278688	0,0165	0,0089	1,23803234392644
305,5	4,0582651391162	0,0187	0,0102	1,40770743265043
306	4,0516339869281	0,0186	0,0102	1,40476657525407
306,5	4,04502446982055	0,0211	0,0116	1,59879131714793
307	4,03843648208469	0,0278	0,0152	2,11334263590902
307,5	4,03186991869919	0,0356	0,0195	2,71511735763833
308	4,02532467532467	0,0378	0,0208	2,89228843361833
308,5	4,01880064829822	0,0414	0,0228	3,17803770769479
309	4,01229773462783	0,0405	0,0223	3,11903573156961
309,5	4,00581583198708	0,0433	0,0237	3,34547332231005
310	3,99935483870968	0,0509	0,0278	3,94538635263752
310,5	3,99291465378422	0,0655	0,0359	5,09345973140829
311	3,98649517684887	0,0829	0,0454	6,4673099693499
311,5	3,9800963081862	0,0841	0,0462	6,58203922003549
312	3,97371794871795	0,0934	0,0509	7,33338409420874
312,5	3,96736	0,099	0,0538	7,79800673495725
313	3,96102236421725	0,1073	0,0583	8,47884634618487
313,5	3,95470494417863	0,1076	0,059	8,52973874818519
314	3,9484076433121	0,1197	0,0653	9,51922987578642
314,5	3,94213036565978	0,1306	0,0705	10,4191632924665
